lon,lat
8.575000000000000400e-01,6.862500000000000266e-01,1.000000000000000000e+00
4.112500000000000044e-01,6.750000000000000444e-01,1.000000000000000000e+00
8.625000000000000444e-01,9.062500000000000000e-01,1.000000000000000000e+00
8.112500000000000266e-01,8.100000000000000533e-01,0.000000000000000000e+00
4.687500000000000000e-01,1.162500000000000061e-01,0.000000000000000000e+00
8.962499999999999911e-01,7.287500000000000089e-01,0.000000000000000000e+00
4.387499999999999734e-01,4.849999999999999867e-01,1.000000000000000000e+00
7.449999999999999956e-01,4.612499999999999933e-01,1.000000000000000000e+00
3.887499999999999845e-01,9.024999999999999689e-01,0.000000000000000000e+00
3.087500000000000244e-01,6.237500000000000266e-01,0.000000000000000000e+00
8.512499999999999512e-01,8.487500000000000044e-01,1.000000000000000000e+00
2.775000000000000244e-01,4.699999999999999734e-01,1.000000000000000000e+00
4.112500000000000044e-01,1.275000000000000022e-01,0.000000000000000000e+00
7.574999999999999512e-01,8.112500000000000266e-01,0.000000000000000000e+00
7.787500000000000533e-01,8.850000000000000089e-01,1.000000000000000000e+00
2.787499999999999978e-01,5.625000000000000000e-01,0.000000000000000000e+00
3.362499999999999933e-01,9.350000000000000533e-01,0.000000000000000000e+00
2.212500000000000022e-01,9.887500000000000178e-01,0.000000000000000000e+00
5.300000000000000266e-01,3.950000000000000178e-01,0.000000000000000000e+00